JHU_FIPS,JHU_PROV_STATE,JHU_COUNTY,TotalCases,TotalDeaths,POPEST_2018_B_TOTAL,POPEST_2018_B_U18,POPEST_2018_B_18TO64,POPEST_2018_B_65PLUS,POPEST_2018_B_85PLUS,POPEST_2018_B_MEDAGEYRS,UNEMPLOYED,POP_BLACK,POP_NATIVE,POP_ASIAN,POP_PACIFIC,POP_HIS,POP_WHITE,VETPOP_2019_65TO84,VETPOP_2019_85PLUS,VETPOP_2019_TOTAL,PER_ADULT_SMOKING,PER_18TO64_SMOKING,PER_65PLUS_SMOKING,HOUSEHOLD_SIZE,SIZE_OWNER,SIZE_RENTER,HOUSING_UNITS,AREA_TOTAL,AREA_WATER,PER_AREA_WATER,DENSITY_POP,DENSITY_HOUSE,VOTE_DEM,VOTE_GOP,VOTE_TOTAL,PER_DEM,PER_GOP,PER_SMOKE,PER_OBESITY,PER_DIABETES,AIR_QUAL_PM2.5,OVERCROWDING,PER_DRIVE_ALONE,PER_RURAL,POP_RURAL,STAFFED_BEDS,ICU_BEDS,LICENSED_BEDS,PER_BEDS,NUM_PHYS,PHYS_RATIO,PREVENT_RATE,PER_VACCINATED,PER_UNINSURED,PER_CHILD,PER_ADULT,PER_65PLUS,PER_85PLUS,PER_VET_ADULT,PER_VET_65PLUS,PER_VET_85PLUS,MED_INCOME_2018,PER_COLLEGE_EDU,PER_CHILD_POV,INCOME_RATIO,PER_UNEMPLOYED,PER_BLACK,PER_NATIVE,PER_ASIAN,PER_PACIFIC,PER_HIS,PER_WHITE
1001,Alabama,Autauga,2735,42,55601,13163,33785,8653,871,39.1,942,10755,267,681,62,1649,41316,1792.131361,298.0083001,5950.322496,0.209,11620.609,1808.477,2.59,2.59,2.6,22135,604.39,9.95,0.01646288,91.8,37.2,5908,18110,24661,0.23956855,0.734357893,0.180815572,0.333,0.111,11.7,1.201923077,0.865236614,0.420021623,22921,55,6,85,0.001528749,25,2220,7108,0.41,0.08721686,0.236740346,0.607632956,0.155626697,0.015665186,0.0694265,0.032231999,0.005359765,58786,0.620099737,0.193,5.234597269,0.027882196,0.193431773,0.004802072,0.012247981,0.001115088,0.02965774,0.74308016
1003,Alabama,Baldwin,8733,98,218022,47110,126341,44571,4304,43.3,3393,19151,1684,2508,146,10131,181201,9434.812958,1536.387405,19876.84657,0.209,45566.598,9315.339,2.61,2.66,2.48,104061,2027.31,437.53,0.215818005,114.6,65.5,18409,72780,94090,0.195653098,0.77351472,0.174890326,0.31,0.107,10.3,1.27079175,0.842824327,0.422790991,77060,362,44,410,0.001880544,155,1372,4041,0.44,0.113334045,0.216079111,0.579487391,0.204433498,0.019741127,0.040847466,0.043274591,0.007046937,55962,0.673716198,0.139,4.417766679,0.02685589,0.087839759,0.007723991,0.011503426,0.000669657,0.046467788,0.831113374
1005,Alabama,Barbour,1173,10,24881,5192,14857,4832,472,40.9,433,11951,164,113,46,1064,11356,740.4792885,97.03625734,1691.156475,0.209,5200.129,1009.888,2.49,2.44,2.58,11829,904.52,19.64,0.021713174,31,13.4,4848,5431,10390,0.466602502,0.522714148,0.219999845,0.417,0.176,11.5,1.688596491,0.833684704,0.677896347,18613,30,5,74,0.002974157,8,3159,6209,0.37,0.122427925,0.208673285,0.597122302,0.194204413,0.018970299,0.034308948,0.029760833,0.003900014,34186,0.348576486,0.439,5.681410019,0.029144511,0.480326353,0.006591375,0.004541618,0.0018488,0.042763555,0.456412524
1007,Alabama,Bibb,1179,17,22400,4587,14123,3690,363,40,344,4731,98,53,26,588,16708,491.0003187,93.85897543,1147.914587,0.209,4681.6,771.21,2.99,3.05,2.81,8981,626.17,3.59,0.005733267,36.8,14.4,1874,6733,8748,0.214220393,0.769661637,0.191141999,0.376,0.145,11.2,0.255319149,0.849106469,0.683526075,15663,25,0,35,0.0015625,11,2061,5961,0.38,0.102062526,0.204776786,0.630491071,0.164732143,0.016205357,0.025136397,0.021919657,0.004190133,45340,0.441373534,0.278,4.368580511,0.024357431,0.211205357,0.004375,0.002366071,0.001160714,0.02625,0.745892857
1009,Alabama,Blount,2922,40,57840,13392,33900,10548,1032,40.9,878,846,378,185,70,5536,50255,1781.775705,319.8494591,3962.491274,0.209,12088.56,2204.532,2.77,2.85,2.48,23887,650.63,5.85,0.008991285,88.9,37,2150,22808,25384,0.084699023,0.898518752,0.19208672,0.338,0.17,11.7,1.891367604,0.86178362,0.89951502,51562,25,6,40,0.000691563,13,4463,4060,0.39,0.133607595,0.23153527,0.586099585,0.182365145,0.017842324,0.032172651,0.030805251,0.005529901,48695,0.533610732,0.18,4.430262332,0.025899705,0.014626556,0.00653527,0.003198479,0.001210235,0.09571231,0.868862379
1011,Alabama,Bullock,696,19,10138,2137,6340,1661,184,39.2,224,7050,85,19,76,807,2151,143.2048836,31.3948328,458.8241718,0.209,2118.842,347.149,2.75,2.71,2.88,4493,625.14,2.34,0.003743162,17.5,7.2,3530,1139,4701,0.750904063,0.242288875,0.22894664,0.372,0.237,11.2,0.112517581,0.790609137,0.513743815,5607,30,0,61,0.006016966,3,3436,6632,0.28,0.114403761,0.210791083,0.625369895,0.163839022,0.018149536,0.028035555,0.014125556,0.003096748,32152,0.349760942,0.683,7.410195994,0.03533123,0.695403433,0.008384297,0.001874137,0.007496548,0.079601499,0.212172026
1013,Alabama,Butler,1165,41,19680,4378,11307,3995,585,41.7,427,8769,74,259,10,297,10087,468.7319841,129.4740784,1412.394787,0.209,4113.12,834.955,2.94,2.89,3.04,9964,777.88,1.05,0.001349823,27,12.8,3716,4891,8685,0.427864134,0.563154865,0.21765335,0.433,0.192,10.6,1.693811075,0.838331832,0.712321574,14921,44,7,72,0.003658537,5,3965,9203,0.35,0.111860095,0.22245935,0.574542683,0.202997967,0.02972561,0.041371378,0.023817682,0.006578967,39109,0.416787565,0.363,5.423595582,0.037764217,0.445579268,0.003760163,0.013160569,0.00050813,0.015091463,0.512550813
1015,Alabama,Calhoun,6301,119,114277,24695,69335,20247,2111,40,2139,23827,617,1102,126,4469,82308,4582.707124,560.7846368,10599.30911,0.209,23883.893,4231.623,2.49,2.47,2.52,53289,612.29,6.42,0.010485228,195.7,88,13197,32803,47376,0.278558764,0.692396994,0.206125604,0.385,0.175,11.8,1.542045707,0.848092137,0.336968256,39955,413,24,486,0.004252824,73,1572,6581,0.38,0.119291675,0.216097727,0.606727513,0.17717476,0.018472659,0.047742042,0.040101745,0.00490724,45197,0.592439886,0.265,5.023896449,0.03085022,0.208502148,0.005399162,0.009643235,0.001102584,0.039106732,0.720249919
1017,Alabama,Chambers,1768,50,33615,6992,20061,6562,749,42.7,597,13300,103,446,15,861,18566,1035.037228,138.370326,2374.208205,0.209,7025.535,1371.458,2.46,2.46,2.47,17004,603.11,6.58,0.010910116,57.4,28.5,5763,7803,13778,0.418275512,0.56633764,0.193929271,0.401,0.199,11.4,4.036101083,0.85252848,0.491480345,16816,0,0,115,0.003421092,14,2408,5622,0.42,0.119380768,0.20800238,0.596787149,0.195210472,0.022281719,0.035722167,0.030790933,0.004116327,39872,0.48460334,0.307,4.744932135,0.029759234,0.395656701,0.003064108,0.013267886,0.000446229,0.025613565,0.552312956
1019,Alabama,Cherokee,1022,24,26032,4990,15062,5980,536,46.9,415,1104,172,88,8,422,23860,1058.175531,103.7048656,1791.153962,0.209,5440.688,1249.82,2.41,2.44,2.3,16267,599.98,46.28,0.077135905,46.9,29.4,1524,8809,10503,0.1451014,0.838712749,0.174986738,0.35,0.152,11.4,1.5,0.831144659,0.85736273,22282,45,0,60,0.002304856,10,2586,5521,0.41,0.111726499,0.191687154,0.578595575,0.229717271,0.020590043,0.024173078,0.040649029,0.003983746,41014,0.518362101,0.247,4.708465031,0.027552782,0.042409342,0.006607253,0.003380455,0.000307314,0.016210817,0.916564229
