TotalCases,TotalDeaths,POPEST_2018_B_U18,POPEST_2018_B_18TO64,POPEST_2018_B_65PLUS,POPEST_2018_B_85PLUS,UNEMPLOYED,VETPOP_2019_65TO84,VETPOP_2019_85PLUS,VETPOP_2019_TOTAL,HOUSEHOLD_SIZE,HOUSING_UNITS,AREA_TOTAL,AREA_WATER,PER_AREA_WATER,DENSITY_POP,DENSITY_HOUSE,PER_OBESITY,PER_DIABETES,OVERCROWDING,PER_DRIVE_ALONE,PER_RURAL,POP_RURAL,PER_UNINSURED,PER_CHILD,PER_ADULT,PER_65PLUS,PER_85PLUS,MED_INCOME_2018,PER_COLLEGE_EDU,INCOME_RATIO,PER_UNEMPLOYED
2735,42,13163,33785,8653,871,942,1792.131361,298.0083001,5950.322496,2.59,22135,604.39,9.95,0.01646288,91.8,37.2,0.333,0.111,1.201923077,0.865236614,0.420021623,22921,0.08721686,0.236740346,0.607632956,0.155626697,0.015665186,58786,0.620099737,5.234597269,0.027882196
8733,98,47110,126341,44571,4304,3393,9434.812958,1536.387405,19876.84657,2.61,104061,2027.31,437.53,0.215818005,114.6,65.5,0.31,0.107,1.27079175,0.842824327,0.422790991,77060,0.113334045,0.216079111,0.579487391,0.204433498,0.019741127,55962,0.673716198,4.417766679,0.02685589
1173,10,5192,14857,4832,472,433,740.4792885,97.03625734,1691.156475,2.49,11829,904.52,19.64,0.021713174,31,13.4,0.417,0.176,1.688596491,0.833684704,0.677896347,18613,0.122427925,0.208673285,0.597122302,0.194204413,0.018970299,34186,0.348576486,5.681410019,0.029144511
1179,17,4587,14123,3690,363,344,491.0003187,93.85897543,1147.914587,2.99,8981,626.17,3.59,0.005733267,36.8,14.4,0.376,0.145,0.255319149,0.849106469,0.683526075,15663,0.102062526,0.204776786,0.630491071,0.164732143,0.016205357,45340,0.441373534,4.368580511,0.024357431
2922,40,13392,33900,10548,1032,878,1781.775705,319.8494591,3962.491274,2.77,23887,650.63,5.85,0.008991285,88.9,37,0.338,0.17,1.891367604,0.86178362,0.89951502,51562,0.133607595,0.23153527,0.586099585,0.182365145,0.017842324,48695,0.533610732,4.430262332,0.025899705
696,19,2137,6340,1661,184,224,143.2048836,31.3948328,458.8241718,2.75,4493,625.14,2.34,0.003743162,17.5,7.2,0.372,0.237,0.112517581,0.790609137,0.513743815,5607,0.114403761,0.210791083,0.625369895,0.163839022,0.018149536,32152,0.349760942,7.410195994,0.03533123
1165,41,4378,11307,3995,585,427,468.7319841,129.4740784,1412.394787,2.94,9964,777.88,1.05,0.001349823,27,12.8,0.433,0.192,1.693811075,0.838331832,0.712321574,14921,0.111860095,0.22245935,0.574542683,0.202997967,0.02972561,39109,0.416787565,5.423595582,0.037764217
6301,119,24695,69335,20247,2111,2139,4582.707124,560.7846368,10599.30911,2.49,53289,612.29,6.42,0.010485228,195.7,88,0.385,0.175,1.542045707,0.848092137,0.336968256,39955,0.119291675,0.216097727,0.606727513,0.17717476,0.018472659,45197,0.592439886,5.023896449,0.03085022
1768,50,6992,20061,6562,749,597,1035.037228,138.370326,2374.208205,2.46,17004,603.11,6.58,0.010910116,57.4,28.5,0.401,0.199,4.036101083,0.85252848,0.491480345,16816,0.119380768,0.20800238,0.596787149,0.195210472,0.022281719,39872,0.48460334,4.744932135,0.029759234
1022,24,4990,15062,5980,536,415,1058.175531,103.7048656,1791.153962,2.41,16267,599.98,46.28,0.077135905,46.9,29.4,0.35,0.152,1.5,0.831144659,0.85736273,22282,0.111726499,0.191687154,0.578595575,0.229717271,0.020590043,41014,0.518362101,4.708465031,0.027552782
